Month Start,Mean Temperature
1985-06-01 00:00:00,8.52
1985-07-01 00:00:00,8.02
1985-08-01 00:00:00,7.89
1985-09-01 00:00:00,10.06
1985-10-01 00:00:00,10.43
1985-11-01 00:00:00,12.77
1985-12-01 00:00:00,15.18
1986-01-01 00:00:00,17.39
1986-02-01 00:00:00,16.36
1986-03-01 00:00:00,14.78
1986-04-01 00:00:00,13.17
1986-05-01 00:00:00,9.86
1986-06-01 00:00:00,7.76
1986-07-01 00:00:00,6.56
1986-08-01 00:00:00,7.07
1986-09-01 00:00:00,9.33
1986-10-01 00:00:00,11.65
1986-11-01 00:00:00,13.14
1986-12-01 00:00:00,14.80
1987-01-01 00:00:00,17.04
1987-02-01 00:00:00,15.72
1987-03-01 00:00:00,14.07
1987-04-01 00:00:00,12.43
1987-05-01 00:00:00,10.53
1987-06-01 00:00:00,8.05
1987-07-01 00:00:00,7.37
1987-08-01 00:00:00,8.88
1987-09-01 00:00:00,9.85
1987-10-01 00:00:00,11.57
1987-11-01 00:00:00,13.48
1987-12-01 00:00:00,14.81
1988-01-01 00:00:00,15.94
1988-02-01 00:00:00,16.61
1988-03-01 00:00:00,14.26
1988-04-01 00:00:00,11.40
1988-05-01 00:00:00,9.50
1988-06-01 00:00:00,8.28
1988-07-01 00:00:00,8.12
1988-08-01 00:00:00,8.50
1988-09-01 00:00:00,10.87
1988-10-01 00:00:00,11.68
1988-11-01 00:00:00,13.83
1988-12-01 00:00:00,15.87
1989-01-01 00:00:00,16.97
1989-02-01 00:00:00,16.09
1989-03-01 00:00:00,15.38
1989-04-01 00:00:00,12.73
1989-05-01 00:00:00,10.21
1989-06-01 00:00:00,8.10
1989-07-01 00:00:00,6.57
1989-08-01 00:00:00,8.17
1989-09-01 00:00:00,10.70
1989-10-01 00:00:00,12.09
1989-11-01 00:00:00,13.88
1989-12-01 00:00:00,14.59
1990-01-01 00:00:00,16.25
1990-02-01 00:00:00,17.68
1990-03-01 00:00:00,15.88
1990-04-01 00:00:00,13.19
1990-05-01 00:00:00,10.79
1990-06-01 00:00:00,7.78
1990-07-01 00:00:00,7.53
1990-08-01 00:00:00,8.36
1990-09-01 00:00:00,9.09
1990-10-01 00:00:00,11.49
1990-11-01 00:00:00,13.29
1990-12-01 00:00:00,14.96
1991-01-01 00:00:00,16.24
1991-02-01 00:00:00,16.09
1991-03-01 00:00:00,15.02
1991-04-01 00:00:00,11.83
1991-05-01 00:00:00,10.01
1991-06-01 00:00:00,6.91
1991-07-01 00:00:00,6.58
1991-08-01 00:00:00,8.79
1991-09-01 00:00:00,10.10
1991-10-01 00:00:00,10.87
1991-11-01 00:00:00,11.66
1991-12-01 00:00:00,14.24
1992-01-01 00:00:00,16.20
1992-02-01 00:00:00,15.43
1992-03-01 00:00:00,13.51
1992-04-01 00:00:00,10.36
1992-05-01 00:00:00,8.29
1992-06-01 00:00:00,6.57
1992-07-01 00:00:00,7.24
1992-08-01 00:00:00,6.96
1992-09-01 00:00:00,8.19
1992-10-01 00:00:00,10.29
1992-11-01 00:00:00,13.38
1992-12-01 00:00:00,13.67
1993-01-01 00:00:00,15.20
1993-02-01 00:00:00,15.28
1993-03-01 00:00:00,13.57
1993-04-01 00:00:00,11.12
1993-05-01 00:00:00,9.66
1993-06-01 00:00:00,8.16
1993-07-01 00:00:00,6.82
1993-08-01 00:00:00,6.94
1993-09-01 00:00:00,8.68
1993-10-01 00:00:00,11.57
1993-11-01 00:00:00,11.56
1993-12-01 00:00:00,13.87
1994-01-01 00:00:00,16.49
1994-02-01 00:00:00,16.72
1994-03-01 00:00:00,13.75
1994-04-01 00:00:00,12.58
1994-05-01 00:00:00,10.26
1994-06-01 00:00:00,6.96
1994-07-01 00:00:00,6.57
1994-08-01 00:00:00,8.28
1994-09-01 00:00:00,8.76
1994-10-01 00:00:00,10.37
1994-11-01 00:00:00,12.64
1994-12-01 00:00:00,14.64
1995-01-01 00:00:00,16.23
1995-02-01 00:00:00,16.69
1995-03-01 00:00:00,15.05
1995-04-01 00:00:00,13.54
1995-05-01 00:00:00,10.78
1995-06-01 00:00:00,7.63
1995-07-01 00:00:00,6.13
1995-08-01 00:00:00,7.79
1995-09-01 00:00:00,9.58
1995-10-01 00:00:00,10.79
1995-11-01 00:00:00,12.40
1995-12-01 00:00:00,15.41
1996-01-01 00:00:00,16.77
1996-02-01 00:00:00,16.71
1996-03-01 00:00:00,14.07
1996-04-01 00:00:00,13.06
1996-05-01 00:00:00,9.98
1996-06-01 00:00:00,7.21
1996-07-01 00:00:00,6.96
1996-08-01 00:00:00,7.54
1996-09-01 00:00:00,10.76
1996-10-01 00:00:00,11.67
1996-11-01 00:00:00,12.27
1996-12-01 00:00:00,14.25
1997-01-01 00:00:00,15.11
1997-02-01 00:00:00,16.44
1997-03-01 00:00:00,14.19
1997-04-01 00:00:00,11.80
1997-05-01 00:00:00,10.89
1997-06-01 00:00:00,7.79
1997-07-01 00:00:00,6.64
1997-08-01 00:00:00,7.84
1997-09-01 00:00:00,9.03
1997-10-01 00:00:00,11.21
1997-11-01 00:00:00,12.87
1997-12-01 00:00:00,14.42
1998-01-01 00:00:00,16.62
1998-02-01 00:00:00,18.37
1998-03-01 00:00:00,16.15
1998-04-01 00:00:00,12.73
1998-05-01 00:00:00,10.95
1998-06-01 00:00:00,8.61
1998-07-01 00:00:00,8.88
1998-08-01 00:00:00,8.17
